description,department,label
A physician intended to order a ¡°CT chest with contrast¡± but accidentally selected ¡°CT abdomen with contrast¡± in the EHR system. The radiology technologist reviewing the order noticed the mismatch between indication (¡°rule out PE¡±) and the selected exam. The order was clarified and corrected before the scan was performed.,radiology/imaging,NME
A CT scan showing suspected pulmonary embolism was finalized but not automatically routed to the clinician due to a network delay. The quality assurance clerk performing daily audit noticed the unviewed report and manually notified the emergency physician within an hour. The patient had already been admitted and treated appropriately.,radiology/imaging,NME
"A 35-year-old woman presented to the ER with sinus infection symptoms. The physician ordered IV penicillin. When the nurse scanned the medication barcode, the EHR system displayed a hard-stop warning: ¡°Patient has documented penicillin allergy.¡± The order was canceled, and an alternative antibiotic (azithromycin) was administered.",outpatient/er,NME
"In an outpatient clinic, a patient was prescribed lisinopril for hypertension. Later that day, a covering physician unknowingly re-prescribed the same medication. The pharmacy management system identified the duplication upon submission and flagged the order. The duplicate was canceled before dispensing.",outpatient/er,NME
"Two patients were registered at the same outpatient lab desk. Their blood samples were labeled back-to-back. Before analysis, the laboratory information system (LIS) flagged a mismatch between barcode ID and patient order. The lab technician verified both tubes, corrected the labels, and recollected one sample.",outpatient/er,NME
"In the ER, two look-alike vials¡ªmidazolam and morphine¡ªwere stored side by side. A nurse retrieved the wrong vial for sedation but noticed the label difference during the ¡°read-back¡± verification step. The correct drug was given, and the error prevented before reaching the patien",outpatient/er,NME
"A healthy Gravida 2 Para1 40-week gestation mother presents in active labor
requiring routine monitoring according to Labor & Delivery protocols. Labor
progresses to delivery of a healthy 6-pound infant with Apgar scores of 10 and 10.
Within 2 minutes post-delivery, the mother, who is still being monitored, begins
to develop extreme respiratory distress and signs of disseminated intravascular
clotting (DIC) syndrome. Despite all emergent efforts to reverse the situation, the
mother succumbs to what is later diagnosed as an amniotic fluid embolism.",ob/gyn/nicu,NSE
"A patient was admitted to a SNF after a long hospitalization for several medical
issues. The patient had a special catheter/IV in his hand that required that no
labs be drawn from that side. Because the dressing had been changed by the
County¡¯s ambulance staff during transport, the warning not to draw blood from
that side which was present in the hospital was missing. Information about this
was mentioned once in the patient record but not highlighted as an important care
notification. The nurse caring for the patient wanted to get the blood tests done
before she left for the day. Because the patient had a cast on his other arm, she
obtained the blood using this IV site and the pt ended up with a large hematoma
requiring readmission to the hospital overnight to manage.",internal medicine,NSE
"A 74-year-old patient admitted for bacterial pneumonia developed acute shortness of breath and hypotension on hospital day 4. A CT pulmonary angiogram confirmed a massive pulmonary embolism. Despite immediate initiation of anticoagulation and transfer to ICU for thrombolysis, the patient suffered cardiac arrest and could not be resuscitated.",internal medicine,NSE
"A patient with tuberculosis receiving isoniazid therapy under directly observed treatment developed acute hepatitis after 3 months. Liver enzymes were monitored monthly and were normal until the week prior. The medication was discontinued immediately, but the patient developed hepatic failure requiring transfer for transplant evaluation.",internal medicine,NSE
A 68-year-old man with end-stage heart failure on optimal medical therapy and implantable defibrillator collapsed at home and was brought to the ED pulseless. The ICD recorded multiple episodes of ventricular fibrillation refractory to shocks. Resuscitation was unsuccessful.,internal medicine,NSE
"A patient with leukemia receiving chemotherapy developed neutropenic fever. Despite isolation, broad-spectrum antibiotics, and HEPA filtration, the patient¡¯s blood culture grew carbapenem-resistant Klebsiella pneumoniae leading to septic shock and death.",internal medicine,NSE
"A 69-year-old male undergoing elective abdominal aortic aneurysm repair developed sudden bradycardia and hypotension after aortic clamping. Despite immediate resuscitation and anesthesia support, the patient suffered cardiac arrest and could not be revived. Review found that all intraoperative monitoring, medications, and anesthesia management adhered to standard protocol.",surgery,NSE
"A 72-year-old female underwent total hip arthroplasty. On postoperative day 5, she experienced acute shortness of breath and hypoxia. CT pulmonary angiography confirmed pulmonary embolism. Despite prophylactic enoxaparin and early mobilization, the patient required ICU admission for thrombolytic therapy.",surgery,NSE
"A 65-year-old man underwent laparoscopic cholecystectomy. His chronic warfarin therapy was appropriately managed preoperatively and restarted on postoperative day 2. On day 4, he developed mild wound bleeding and was found to have supratherapeutic INR. Vitamin K was given, and bleeding resolved without further intervention.",surgery,NSE
"A patient undergoing laparoscopic hernia repair received routine preoperative prophylaxis with IV cefazolin. Within 2 minutes of infusion, the patient developed hypotension, rash, and bronchospasm. The reaction was treated immediately with epinephrine and fluids. The patient stabilized and recovered without sequelae. Chart review confirmed no prior antibiotic allergy.",surgery,NSE
A 35-year-old multiparous woman experienced postpartum hemorrhage following vaginal delivery despite routine use of uterotonic agents (oxytocin and misoprostol). She required transfusion but recovered fully. Review found no errors in management; uterine atony occurred despite preventive measures.,ob/gyn/nicu,NSE
A 27-year-old woman at 33 weeks gestation presented with abdominal pain and vaginal bleeding. Ultrasound showed placental abruption with fetal distress. Emergency cesarean was performed; the baby was delivered alive but premature and admitted to NICU. The mother stabilized postoperatively.,ob/gyn/nicu,NSE
"A 26-week premature infant in NICU developed late-onset sepsis on day 14 of life. All infection prevention bundles (hand hygiene, line care, closed suction) were verified as compliant. Blood culture grew Staphylococcus epidermidis, a common skin contaminant. The baby recovered with antibiotics.",ob/gyn/nicu,NSE
"A 38-year-old woman underwent an elective repeat cesarean section at 39 weeks gestation. The surgery and anesthesia proceeded without incident. Standard postoperative prophylaxis was provided, including early ambulation and daily low-molecular-weight heparin. On postoperative day 6, the patient developed swelling and pain in her left leg. Doppler ultrasound confirmed a femoral vein thrombosis. Anticoagulation therapy was started immediately, and the patient recovered fully without further complications.",ob/gyn/nicu,NSE
"A 58-year-old man underwent a CT abdomen with IV contrast. He had tolerated contrast studies in the past without reaction. Two minutes into the injection, he developed mild urticaria and shortness of breath. The technologist immediately stopped the injection, and the patient was treated with antihistamines and oxygen. Symptoms resolved within 10 minutes.",radiology/imaging,NSE
"A 47-year-old woman undergoing a brain MRI became severely anxious and experienced a vasovagal syncope inside the scanner. The exam was stopped, and the patient recovered within minutes after repositioning and oxygen. She denied prior anxiety or claustrophobia.",radiology/imaging,NSE
"A 65-year-old man underwent a complex interventional angioplasty requiring over 90 minutes of fluoroscopy. One week later, he developed mild erythema on his back consistent with radiation dermatitis. He was treated conservatively, and the lesion resolved within two weeks.",radiology/imaging,NSE
"A 73-year-old patient undergoing CT chest for lung cancer follow-up suddenly became unresponsive on the scanner table. CPR was initiated immediately, but resuscitation was unsuccessful. Autopsy revealed acute myocardial infarction unrelated to the CT procedure.",radiology/imaging,NSE
"A 56-year-old man presented to the emergency department complaining of mild chest discomfort and fatigue. While waiting for triage, he suddenly collapsed. Resuscitation was started within one minute, but the patient could not be revived. ECG after death revealed ST elevation consistent with acute myocardial infarction.",outpatient/er,NSE
"A 40-year-old woman came for a routine physical exam. While in the waiting area, she consumed a snack containing peanuts and developed an anaphylactic reaction within minutes. Staff initiated emergency treatment, and the patient recovered without sequelae. She had no prior documented allergy.",outpatient/er,NSE
"A 63-year-old patient was evaluated in the ER for transient dizziness and normal neurological exam. Head CT was negative for hemorrhage. Six hours later, the patient returned with vomiting and loss of consciousness. Repeat imaging showed massive intracerebral hemorrhage. Despite surgery, the patient died.",outpatient/er,NSE
"A 70-year-old dialysis patient suffered a sudden generalized seizure during routine treatment. Vital signs before the event were stable. Emergency response initiated immediately, but the patient experienced cardiac arrest and could not be resuscitated. Cause of death was determined to be massive cerebral hemorrhage secondary to hypertension.",outpatient/er,NSE
